RecordID,fProfit
392,61771.0851952023
393,84011.2043658188
394,60504.0236557153
395,52755.4883241925
396,66387.9989368751
397,63007.0617868666
398,65473.1815993222
399,69657.5846024843
400,64128.4236283599
401,56864.6797241249
402,46936.7743014549
403,68155.4047208323
404,62236.8138711808
405,109206.754044242
406,68965.0537091946
407,66052.8337468898
408,51839.0250215602
409,55561.5369610572
410,63994.9880824423
411,68036.485952382
412,52070.8670599319
413,52329.4407768086
414,65181.7619624565
415,65294.1031950774
416,58390.2005707498
417,53935.97424045
418,61755.1705055261
419,62312.3352266808
420,59298.3823439515
421,53935.7241225607
422,65922.2587375093
423,52843.1288877957
424,73063.6029613083
425,67957.5362060144
426,60880.570709541
427,57493.2557907559
428,60284.2956949358
429,48602.7848888285
430,76163.3882356922
431,59141.0023831963
432,65027.6811071795
433,53547.2147533439
434,66433.3070525042
435,73644.3760641925
436,55754.5447527669
437,96776.5271245846
438,116661.226294873
439,57293.5714021561
440,55561.0424858573
441,58966.5643021857
442,49121.3402463889
443,64519.6137955038
444,74798.8329249408
445,55432.3630296943
446,56163.627342637
447,97765.5544322493
448,55907.4185146381
449,59423.7877384539
450,60850.6473501501
451,54915.6822391717
452,65840.9847282152
453,71130.6656397264
454,77563.4394173192
455,60481.858127343
456,58139.2839291924
457,69688.7868110569
458,62366.8973086951
459,61362.1978006148
460,61034.2284473722
461,61773.6623802454
462,50347.3558131075
463,59858.6332705282
464,58365.419937
465,62547.5267955469
466,62171.2666973714
467,62426.0885588535
468,88545.0589095127
469,56577.0745713556
470,54987.7488368914
471,56005.2735863017
472,53882.2994175746
473,63926.6966240355
474,54682.5683722372
475,66561.1190168704
476,89149.1650482144
477,58315.7293258478
478,51881.2447802298
479,62420.0726627958
480,62480.4050211456
481,72053.5307503518
482,66877.0523585175
483,50841.8336317872
484,71661.4399617407
485,51202.581099431
486,63790.1656313256
487,54041.0963197881
488,61393.6681955509
489,62586.1747718521
490,74463.8569295229
491,52059.2998892219
492,60660.2536068635
493,99756.4934373008
494,56190.276114318
495,54742.6908638491
496,66080.3460439833
497,57226.0352576705
498,75666.9374972216
499,58228.1036476896
500,49973.3736804126
501,65115.8224391183
502,111705.09354908
503,114403.555723269
504,71430.8277995564
505,52368.766535487
506,50757.0288747752
507,53849.1608262144
508,57403.3876007524
509,63978.3973355343
510,60031.1675088237
511,60516.053887303
512,54687.7304264395
513,63690.6391355982
514,64060.8972393804
515,53973.1855831241
516,53608.1358385105
517,76310.9685368315
518,58209.7440788548
519,61266.3026949576
520,57626.5423716844
521,61716.3762000022
522,75778.4404345074
523,59562.8541001976
524,56474.3025329151
525,57376.5100070501
526,53669.301649374
527,83973.1622350252
528,64907.400482686
529,53703.0213117454
530,72947.7910639655
531,67969.6328728824
532,57219.6601110057
533,71029.9266687219
534,56743.5628033721
535,62294.0532667197
536,54615.3780364195
537,52324.1183864622
538,54487.914529462
539,49290.471987616
540,51319.1803615398
541,50581.1048706947
542,53120.5025993461
543,61195.0191936554
544,59487.4558657927
545,55283.5947829815
546,56211.493358569
547,60512.5798926024
548,81579.3755097166
549,64894.4874578409
550,53334.8051869513
551,63447.0941498069
552,56911.2231694189
553,73118.2656872507
554,58911.7616196511
555,59692.0136093107
556,59101.4317442748
557,61703.3609388718
558,98474.0099491313
559,71289.1890034066
560,58444.0620787308
561,123608.264431592
562,68629.4796699054
563,68703.6960483239
564,62186.9187919893
565,59325.9469651932
566,56774.3135124997
567,62397.2524503722
568,56930.0515757685
569,62831.9747624863
570,61460.0069162396
571,58815.3645969058
572,59879.7224489208
573,70690.6752444594
574,51299.8057711437
575,50394.4911379453
576,57285.9985876838
577,56432.8838920433
578,58283.6336404855
579,63801.311703384
580,66839.5274146757
581,50598.7706718852
582,65186.3238940341
583,60516.0111937099
584,79200.214013614
585,74029.0335643338
586,61881.8576895641
587,59324.7394622067
588,60428.794750931
589,69869.3451411018
590,57998.3398133807
591,51669.1054354702
592,65770.3905962633
593,55985.7863089355
594,74314.4389585527
595,116770.937669253
596,62903.281930591
597,61262.006094796
598,59205.3635894557
599,62255.6905311266
600,57175.3408477817
601,60957.4899158954
602,59434.3891246041
603,62537.4953767777
604,170944.228332617
605,59007.4968258606
606,58800.5634957917
607,62849.8395150405
608,53968.0005503769
609,74346.3690385861
610,57847.3545410887
611,67952.9882084188
612,65390.1443303447
613,64395.566544016
614,52320.8951634395
615,56315.6459979264
616,76888.5073788361
617,50353.818158061
618,64352.5949062566
619,56135.0056363252
620,63764.5021267065
621,52340.4436480765
622,50122.7891024905
623,59312.9781269657
624,62386.5608267888
625,78042.7536291486
626,81399.4447239145
627,72790.7384147493
628,80649.3837257403
629,61997.2299128119
630,55076.2341875042
631,57279.0055426339
632,60651.1688454444
633,69192.5656601754
634,70317.4071112914
635,50366.8557706234
636,60593.2700946892
637,54300.3146156128
638,59637.1259557277
639,55949.4322028296
640,65320.2083286789
641,63757.4113551621
642,57010.8546629523
643,66296.974537893
644,59834.0875776719
645,69327.0378133439
